pdb,label
2r58,2.00
3c2f,2.00
3g2y,2.00
3pce,2.00
4qsu,2.00
4qsv,2.00
4u54,2.06
3ao4,2.07
4cs9,2.10
3gv9,2.12
4q90,2.15
5cs3,2.15
5fe6,2.16
6ghj,2.16
3gqz,2.17
4y3j,2.17
5oxk,2.17
5z5f,2.17
4ahr,2.19
4ahs,2.19
4mre,2.19
1x8d,2.21
4g0z,2.21
1m0n,2.22
2aac,2.22
4aci,2.22
4ury,2.22
1ajp,2.23
3ao5,2.23
3i3b,2.23
4np2,2.26
1uto,2.27
4ahu,2.27
1ps3,2.28
3ip8,2.28
4ddk,2.29
3dyo,2.30
3kgq,2.30
3mhw,2.30
3pcg,2.30
3rv4,2.30
4g0y,2.30
4jsz,2.30
1m0o,2.31
4y0a,2.31
5mz8,2.31
5aol,2.32
4iie,2.34
3gtc,2.35
4y3y,2.35
3g2z,2.36
5fsc,2.36
3t0d,2.37
6rnt,2.37
1f73,2.39
1nwl,2.39
4u5s,2.41
4u5o,2.42
1oba,2.44
3mjl,2.44
4ddm,2.46
4x8u,2.46
1utl,2.47
4y4j,2.47
6fhq,2.47
1gyx,2.48
4u5n,2.48
5mn1,2.48
4efk,2.49
4kz7,2.49
1ai4,2.50
3g30,2.51
3gr2,2.52
3mfv,2.52
3vdb,2.52
4g0q,2.52
4urz,2.52
4hj2,2.53
3b3s,2.55
3ovn,2.55
1gwv,2.57
3kgp,2.57
3gvb,2.59
4o3c,2.59
2r5a,2.60
4up5,2.60
5g46,2.60
3f37,2.62
5lvd,2.62
1ajn,2.63
4i8x,2.64
4q7w,2.64
4q8y,2.64
4ufl,2.64
6fhu,2.64
5ey0,2.65
3a1e,2.66
3lvw,2.67
4b3c,2.68
4b3d,2.68
3elc,2.69
2fzc,2.70
2uyn,2.70
3bra,2.70
1pfu,2.72
5fsx,2.72
2qwb,2.74
2vyt,2.74
4m6u,2.74
4ndu,2.74
5os2,2.74
1rql,2.75
4bt5,2.76
5er4,2.76
3fcq,2.77
4kz3,2.77
4ykk,2.77
5os4,2.78
2bza,2.80
5fbi,2.80
5fov,2.80
3djx,2.81
4rrg,2.81
3lka,2.82
3ppr,2.82
4dsu,2.82
4k7i,2.82
6mj7,2.82
3zt2,2.84
3udh,2.85
5th4,2.85
3zt3,2.86
1cet,2.89
3g31,2.89
4b35,2.89
4gqq,2.89
4llx,2.89
5flt,2.89
5ngz,2.89
5orv,2.89
6b7b,2.89
3c2u,2.90
1h2k,2.92
2fw6,2.92
3alt,2.92
3k8c,2.92
4ai5,2.92
4ef6,2.92
4lm3,2.92
4y2q,2.92
5ct2,2.92
6fv4,2.92
1tng,2.93
4zv2,2.93
2vmc,2.94
1f4e,2.96
3g34,2.96
3imc,2.96
4dst,2.96
4mrg,2.96
4owm,2.96
5fng,2.96
4ceb,2.97
5flq,2.97
3ckb,2.98
3djq,2.98
4ibc,2.98
5aba,2.98
4bps,2.99
1ecq,3.00
1ws4,3.00
2q8h,3.00
2v3u,3.00
3ime,3.00
4b2i,3.00
4k0o,3.00
4l51,3.00
4llk,3.00
4r3w,3.00
4u0w,3.00
5ehw,3.00
6ftz,3.00
1utm,3.01
4g0p,3.01
2vmd,3.02
4q81,3.02
1ogd,3.03
2ha3,3.03
4lm2,3.03
4qp2,3.03
5aoi,3.03
1rtf,3.04
3t08,3.04
3t1m,3.04
4i7k,3.04
4lm4,3.04
5fls,3.04
1f74,3.05
1uj5,3.05
4g5f,3.05
1rnm,3.07
3mof,3.07
1y1z,3.08
5ehv,3.08
1ec9,3.10
2xdl,3.10
3buf,3.10
3f78,3.10
4cjr,3.10
4kz6,3.10
5eh8,3.10
5orw,3.10
3c2r,3.11
4bt3,3.12
4cgi,3.12
5ey4,3.12
1ax0,3.13
5c5t,3.13
2ya7,3.14
4b34,3.14
1e6q,3.15
4de5,3.15
4fzj,3.15
5flo,3.15
5fnf,3.15
2ymd,3.16
3f34,3.16
5fot,3.17
5fox,3.17
5ose,3.17
1lbk,3.18
3bug,3.18
3g1v,3.19
4gzx,3.19
5cs6,3.20
5ijr,3.20
1s5z,3.21
1br6,3.22
1e6s,3.22
1ew9,3.22
1k1y,3.22
1zc9,3.22
2ri9,3.22
2uy3,3.22
4n5d,3.22
1px4,3.23
3zsy,3.23
4lm1,3.23
4unp,3.23
5qay,3.23
3qfz,3.24
4b2l,3.24
4qlk,3.24
1v2j,3.25
3ta1,3.25
4lm0,3.25
5yas,3.26
3ioe,3.27
1bcu,3.28
3d52,3.28
3tfu,3.28
3zsx,3.28
4fl1,3.28
5duw,3.29
1d7j,3.30
1phw,3.30
1tpw,3.30
2vw2,3.30
3aaq,3.30
3hcm,3.30
4ddh,3.30
4jss,3.30
4mrw,3.30
4msa,3.30
4np3,3.30
5g45,3.30
1i2s,3.31
1pzp,3.31
5fe7,3.31
2wk6,3.32
4cjp,3.32
4i7j,3.32
188l,3.33
1jlr,3.33
4ab9,3.33
4b0b,3.33
4b5t,3.33
4b5w,3.33
3f33,3.34
4b32,3.34
4bt4,3.34
4cp5,3.34
3c2o,3.35
3pwk,3.35
4lkq,3.35
4cj4,3.36
187l,3.37
1tnh,3.37
1v2u,3.37
3d8z,3.37
3n35,3.37
4b33,3.37
2fzg,3.38
3tay,3.38
3w07,3.38
4qll,3.38
4ipn,3.39
4lhm,3.39
5lsh,3.39
5os5,3.39
1bxr,3.40
1f8d,3.40
1ikt,3.40
1l83,3.40
1m83,3.40
1uz4,3.40
3jzh,3.40
4abe,3.40
2sim,3.42
3iob,3.42
4llj,3.42
